index,Country Code,EEUU,asilo+EEUU,asilo+españa,emigrar,inmigrar,inmigrar+EEUU,inmigrar+españa,isPartial,word
2015-11-22,PA,,,,,,8.0,,False,inmigrar+EEUU
2015-11-29,PA,,,,,,11.0,,False,inmigrar+EEUU
2015-12-06,PA,,,,,,9.0,,False,inmigrar+EEUU
2015-12-13,PA,,,,,,14.0,,False,inmigrar+EEUU
2015-12-20,PA,,,,,,5.0,,False,inmigrar+EEUU
2015-12-27,PA,,,,,,16.0,,False,inmigrar+EEUU
2016-01-03,PA,,,,,,7.0,,False,inmigrar+EEUU
2016-01-10,PA,,,,,,8.0,,False,inmigrar+EEUU
2016-01-17,PA,,,,,,8.0,,False,inmigrar+EEUU
2016-01-24,PA,,,,,,5.0,,False,inmigrar+EEUU
2016-01-31,PA,,,,,,4.0,,False,inmigrar+EEUU
2016-02-07,PA,,,,,,8.0,,False,inmigrar+EEUU
2016-02-14,PA,,,,,,10.0,,False,inmigrar+EEUU
2016-02-21,PA,,,,,,6.0,,False,inmigrar+EEUU
2016-02-28,PA,,,,,,7.0,,False,inmigrar+EEUU
2016-03-06,PA,,,,,,11.0,,False,inmigrar+EEUU
2016-03-13,PA,,,,,,6.0,,False,inmigrar+EEUU
2016-03-20,PA,,,,,,15.0,,False,inmigrar+EEUU
2016-03-27,PA,,,,,,8.0,,False,inmigrar+EEUU
2016-04-03,PA,,,,,,8.0,,False,inmigrar+EEUU
2016-04-10,PA,,,,,,4.0,,False,inmigrar+EEUU
2016-04-17,PA,,,,,,11.0,,False,inmigrar+EEUU
2016-04-24,PA,,,,,,10.0,,False,inmigrar+EEUU
2016-05-01,PA,,,,,,11.0,,False,inmigrar+EEUU
2016-05-08,PA,,,,,,11.0,,False,inmigrar+EEUU
2016-05-15,PA,,,,,,13.0,,False,inmigrar+EEUU
2016-05-22,PA,,,,,,8.0,,False,inmigrar+EEUU
2016-05-29,PA,,,,,,19.0,,False,inmigrar+EEUU
2016-06-05,PA,,,,,,12.0,,False,inmigrar+EEUU
2016-06-12,PA,,,,,,13.0,,False,inmigrar+EEUU
2016-06-19,PA,,,,,,16.0,,False,inmigrar+EEUU
2016-06-26,PA,,,,,,9.0,,False,inmigrar+EEUU
2016-07-03,PA,,,,,,4.0,,False,inmigrar+EEUU
2016-07-10,PA,,,,,,12.0,,False,inmigrar+EEUU
2016-07-17,PA,,,,,,11.0,,False,inmigrar+EEUU
2016-07-24,PA,,,,,,8.0,,False,inmigrar+EEUU
2016-07-31,PA,,,,,,7.0,,False,inmigrar+EEUU
2016-08-07,PA,,,,,,7.0,,False,inmigrar+EEUU
2016-08-14,PA,,,,,,9.0,,False,inmigrar+EEUU
2016-08-21,PA,,,,,,6.0,,False,inmigrar+EEUU
2016-08-28,PA,,,,,,7.0,,False,inmigrar+EEUU
2016-09-04,PA,,,,,,10.0,,False,inmigrar+EEUU
2016-09-11,PA,,,,,,13.0,,False,inmigrar+EEUU
2016-09-18,PA,,,,,,4.0,,False,inmigrar+EEUU
2016-09-25,PA,,,,,,15.0,,False,inmigrar+EEUU
2016-10-02,PA,,,,,,13.0,,False,inmigrar+EEUU
2016-10-09,PA,,,,,,16.0,,False,inmigrar+EEUU
2016-10-16,PA,,,,,,12.0,,False,inmigrar+EEUU
2016-10-23,PA,,,,,,12.0,,False,inmigrar+EEUU
2016-10-30,PA,,,,,,9.0,,False,inmigrar+EEUU
2016-11-06,PA,,,,,,100.0,,False,inmigrar+EEUU
2016-11-13,PA,,,,,,11.0,,False,inmigrar+EEUU
2016-11-20,PA,,,,,,10.0,,False,inmigrar+EEUU
2016-11-27,PA,,,,,,8.0,,False,inmigrar+EEUU
2016-12-04,PA,,,,,,3.0,,False,inmigrar+EEUU
2016-12-11,PA,,,,,,6.0,,False,inmigrar+EEUU
2016-12-18,PA,,,,,,13.0,,False,inmigrar+EEUU
2016-12-25,PA,,,,,,8.0,,False,inmigrar+EEUU
2017-01-01,PA,,,,,,13.0,,False,inmigrar+EEUU
2017-01-08,PA,,,,,,6.0,,False,inmigrar+EEUU
2017-01-15,PA,,,,,,11.0,,False,inmigrar+EEUU
2017-01-22,PA,,,,,,9.0,,False,inmigrar+EEUU
2017-01-29,PA,,,,,,12.0,,False,inmigrar+EEUU
2017-02-05,PA,,,,,,12.0,,False,inmigrar+EEUU
2017-02-12,PA,,,,,,14.0,,False,inmigrar+EEUU
2017-02-19,PA,,,,,,13.0,,False,inmigrar+EEUU
2017-02-26,PA,,,,,,5.0,,False,inmigrar+EEUU
2017-03-05,PA,,,,,,12.0,,False,inmigrar+EEUU
2017-03-12,PA,,,,,,11.0,,False,inmigrar+EEUU
2017-03-19,PA,,,,,,13.0,,False,inmigrar+EEUU
2017-03-26,PA,,,,,,16.0,,False,inmigrar+EEUU
2017-04-02,PA,,,,,,22.0,,False,inmigrar+EEUU
2017-04-09,PA,,,,,,36.0,,False,inmigrar+EEUU
2017-04-16,PA,,,,,,11.0,,False,inmigrar+EEUU
2017-04-23,PA,,,,,,15.0,,False,inmigrar+EEUU
2017-04-30,PA,,,,,,14.0,,False,inmigrar+EEUU
2017-05-07,PA,,,,,,10.0,,False,inmigrar+EEUU
2017-05-14,PA,,,,,,14.0,,False,inmigrar+EEUU
2017-05-21,PA,,,,,,12.0,,False,inmigrar+EEUU
2017-05-28,PA,,,,,,11.0,,False,inmigrar+EEUU
2017-06-04,PA,,,,,,15.0,,False,inmigrar+EEUU
2017-06-11,PA,,,,,,14.0,,False,inmigrar+EEUU
2017-06-18,PA,,,,,,9.0,,False,inmigrar+EEUU
2017-06-25,PA,,,,,,7.0,,False,inmigrar+EEUU
2017-07-02,PA,,,,,,14.0,,False,inmigrar+EEUU
2017-07-09,PA,,,,,,15.0,,False,inmigrar+EEUU
2017-07-16,PA,,,,,,9.0,,False,inmigrar+EEUU
2017-07-23,PA,,,,,,16.0,,False,inmigrar+EEUU
2017-07-30,PA,,,,,,12.0,,False,inmigrar+EEUU
2017-08-06,PA,,,,,,14.0,,False,inmigrar+EEUU
2017-08-13,PA,,,,,,17.0,,False,inmigrar+EEUU
2017-08-20,PA,,,,,,15.0,,False,inmigrar+EEUU
2017-08-27,PA,,,,,,11.0,,False,inmigrar+EEUU
2017-09-03,PA,,,,,,17.0,,False,inmigrar+EEUU
2017-09-10,PA,,,,,,13.0,,False,inmigrar+EEUU
2017-09-17,PA,,,,,,9.0,,False,inmigrar+EEUU
2017-09-24,PA,,,,,,16.0,,False,inmigrar+EEUU
2017-10-01,PA,,,,,,26.0,,False,inmigrar+EEUU
2017-10-08,PA,,,,,,21.0,,False,inmigrar+EEUU
2017-10-15,PA,,,,,,12.0,,False,inmigrar+EEUU
2017-10-22,PA,,,,,,10.0,,False,inmigrar+EEUU
2017-10-29,PA,,,,,,11.0,,False,inmigrar+EEUU
2017-11-05,PA,,,,,,16.0,,False,inmigrar+EEUU
2017-11-12,PA,,,,,,9.0,,False,inmigrar+EEUU
2017-11-19,PA,,,,,,15.0,,False,inmigrar+EEUU
2017-11-26,PA,,,,,,8.0,,False,inmigrar+EEUU
2017-12-03,PA,,,,,,11.0,,False,inmigrar+EEUU
2017-12-10,PA,,,,,,11.0,,False,inmigrar+EEUU
2017-12-17,PA,,,,,,15.0,,False,inmigrar+EEUU
2017-12-24,PA,,,,,,14.0,,False,inmigrar+EEUU
2017-12-31,PA,,,,,,14.0,,False,inmigrar+EEUU
2018-01-07,PA,,,,,,19.0,,False,inmigrar+EEUU
2018-01-14,PA,,,,,,10.0,,False,inmigrar+EEUU
2018-01-21,PA,,,,,,12.0,,False,inmigrar+EEUU
2018-01-28,PA,,,,,,11.0,,False,inmigrar+EEUU
2018-02-04,PA,,,,,,11.0,,False,inmigrar+EEUU
2018-02-11,PA,,,,,,18.0,,False,inmigrar+EEUU
